Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Geometry Building Type RECS	Dependency=HVAC Heating Type	Dependency=Vintage ACS	Option=Central AC	Option=Heat Pump	Option=None	Option=Room AC	source_count	source_weight	sampling_probability
1A	Mobile Home	Ducted Heat Pump	1940-59	0	1	0	0	0	0	5.47E-06
1A	Mobile Home	Ducted Heating	1940-59	0.333333	0	0.333333	0.333333	0	0	7.26E-06
1A	Mobile Home	Non-Ducted Heat Pump	1940-59	0	1	0	0	0	0	0
1A	Mobile Home	Non-Ducted Heating	1940-59	0	0	0	1	3	2610.67	2.94E-06
1A	Mobile Home	None	1940-59	0	0	0	1	3	2610.67	8.32E-07
1A	Multi-Family with 2 - 4 Units	Ducted Heat Pump	1940-59	0	1	0	0	1	432.995	5.09E-05
1A	Multi-Family with 2 - 4 Units	Ducted Heating	1940-59	0.895813	0	0	0.104187	16	7585.65	6.51E-05
1A	Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	1940-59	0	1	0	0	0	0	0
1A	Multi-Family with 2 - 4 Units	Non-Ducted Heating	1940-59	0.157615	0	0.192165	0.65022	19	4222.51	2.31E-05
1A	Multi-Family with 2 - 4 Units	None	1940-59	0.157615	0	0.192165	0.65022	19	4222.51	1.30E-05
1A	Multi-Family with 5+ Units	Ducted Heat Pump	1940-59	0	1	0	0	1	432.995	0.000139696
1A	Multi-Family with 5+ Units	Ducted Heating	1940-59	0.895813	0	0	0.104187	16	7585.65	0.000176041
1A	Multi-Family with 5+ Units	Non-Ducted Heat Pump	1940-59	0	1	0	0	0	0	0
1A	Multi-Family with 5+ Units	Non-Ducted Heating	1940-59	0.157615	0	0.192165	0.65022	19	4222.51	6.45E-05
1A	Multi-Family with 5+ Units	None	1940-59	0.157615	0	0.192165	0.65022	19	4222.51	2.91E-05
1A	Single-Family Attached	Ducted Heat Pump	1940-59	0	1	0	0	32	13993.9	4.29E-05
1A	Single-Family Attached	Ducted Heating	1940-59	0.90322	0	0.0119277	0.0848528	83	38482.4	5.30E-05
1A	Single-Family Attached	Non-Ducted Heat Pump	1940-59	0	1	0	0	0	0	0
1A	Single-Family Attached	Non-Ducted Heating	1940-59	0.0985913	0	0.0320546	0.869354	56	14740.1	1.88E-05
1A	Single-Family Attached	None	1940-59	0.0985913	0	0.0320546	0.869354	56	14740.1	3.19E-06
1A	Single-Family Detached	Ducted Heat Pump	1940-59	0	1	0	0	32	13993.9	0.000458743
1A	Single-Family Detached	Ducted Heating	1940-59	0.90322	0	0.0119277	0.0848528	83	38482.4	0.000624656
1A	Single-Family Detached	Non-Ducted Heat Pump	1940-59	0	1	0	0	0	0	0
1A	Single-Family Detached	Non-Ducted Heating	1940-59	0.0985913	0	0.0320546	0.869354	56	14740.1	0.000229516
1A	Single-Family Detached	None	1940-59	0.0985913	0	0.0320546	0.869354	56	14740.1	5.88E-05
1A	Mobile Home	Ducted Heat Pump	1960-79	0	1	0	0	9	10553.8	4.63E-05
1A	Mobile Home	Ducted Heating	1960-79	0.784691	0	0	0.215309	10	12178.1	6.96E-05
1A	Mobile Home	Non-Ducted Heat Pump	1960-79	0	1	0	0	0	0	0
1A	Mobile Home	Non-Ducted Heating	1960-79	0.338418	0	0.104256	0.557326	20	11804.4	1.80E-05
1A	Mobile Home	None	1960-79	0.338418	0	0.104256	0.557326	20	11804.4	9.87E-06
1A	Multi-Family with 2 - 4 Units	Ducted Heat Pump	1960-79	0	1	0	0	11	5825.86	0.000107916
1A	Multi-Family with 2 - 4 Units	Ducted Heating	1960-79	0.968885	0	0.0191534	0.011962	92	42970.6	0.000164575
1A	Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	1960-79	0	1	0	0	0	0	0
1A	Multi-Family with 2 - 4 Units	Non-Ducted Heating	1960-79	0.579164	0	0.043206	0.37763	21	4643.04	4.89E-05
1A	Multi-Family with 2 - 4 Units	None	1960-79	0.579164	0	0.043206	0.37763	21	4643.04	1.69E-05
1A	Multi-Family with 5+ Units	Ducted Heat Pump	1960-79	0	1	0	0	11	5825.86	0.000817798
1A	Multi-Family with 5+ Units	Ducted Heating	1960-79	0.968885	0	0.0191534	0.011962	92	42970.6	0.00120733
1A	Multi-Family with 5+ Units	Non-Ducted Heat Pump	1960-79	0	1	0	0	0	0	0
1A	Multi-Family with 5+ Units	Non-Ducted Heating	1960-79	0.579164	0	0.043206	0.37763	21	4643.04	0.000321193
1A	Multi-Family with 5+ Units	None	1960-79	0.579164	0	0.043206	0.37763	21	4643.04	0.000124003
